label,role,dependents,share_of_library_pct
cfsupp,syntax constructor,4380,9.2
cq,syntax constructor,4349,9.13
df-q,definition,4343,9.12
cico,syntax constructor,4331,9.09
cpt,syntax constructor,4322,9.08
cxad,syntax constructor,4319,9.07
df-fsupp,definition,4303,9.04
cmgp,syntax constructor,4277,8.98
ctopon,syntax constructor,4271,8.97
df-topon,definition,4271,8.97
df-minusg,definition,4263,8.95
crg,syntax constructor,4256,8.94
df-xadd,definition,4208,8.84
df-ico,definition,4182,8.78
ctg,syntax constructor,4134,8.68
cur,syntax constructor,4129,8.67
cmre,syntax constructor,4126,8.66
df-mre,definition,4122,8.66
df-topgen,definition,4122,8.66
cmrc,syntax constructor,4102,8.61
df-mgp,definition,4099,8.61
df-mrc,definition,4068,8.54
csu,syntax constructor,4054,8.51
cicc,syntax constructor,4049,8.5
cmg,syntax constructor,4044,8.49
df-gsum,definition,4038,8.48
df-sum,definition,4038,8.48
ctb,syntax constructor,4036,8.48
df-bases,definition,4031,8.46
cacs,syntax constructor,4026,8.45
df-acs,definition,4024,8.45
df-ring,definition,4006,8.41
df-mulg,definition,4003,8.41
df-icc,definition,3920,8.23
coa,syntax constructor,3866,8.12
cprds,syntax constructor,3856,8.1
df-prds,definition,3853,8.09
df-ur,definition,3851,8.09
df-oadd,definition,3829,8.04
cxmet,syntax constructor,3826,8.03
df-xmet,definition,3825,8.03
cstv,syntax constructor,3819,8.02
cxne,syntax constructor,3809,8.0
ccnfld,syntax constructor,3784,7.95
df-xneg,definition,3739,7.85
df-starv,definition,3735,7.84
cmetu,syntax constructor,3729,7.83
cunif,syntax constructor,3727,7.83
cxmu,syntax constructor,3722,7.82
df-unif,definition,3722,7.82
df-cnfld,definition,3704,7.78
crest,syntax constructor,3703,7.78
cmet,syntax constructor,3653,7.67
df-xmul,definition,3645,7.65
df-met,definition,3625,7.61
cpsmet,syntax constructor,3617,7.6
df-rest,definition,3616,7.59
df-psmet,definition,3615,7.59
cbl,syntax constructor,3587,7.53
ax-addf,axiom,3585,7.53
df-bl,definition,3574,7.51
cabl,syntax constructor,3571,7.5
df-abl,definition,3560,7.48
cfi,syntax constructor,3465,7.28
df-fi,definition,3456,7.26
df-mopn,definition,3434,7.21
