database,foundation,label,typecode,role,dependents,share_of_db_pct,entry_points,source_revision
set.mm,"ZFC, classical first-order",wxo,wff,syntax constructor,301,0.63,78,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cgim,class,syntax constructor,300,0.63,45,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-gim,|-,assertion,300,0.63,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-xor,|-,assertion,298,0.63,32,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnrg,class,syntax constructor,294,0.62,61,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-subs,|-,assertion,293,0.61,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ces,class,syntax constructor,289,0.61,32,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",c2idl,class,syntax constructor,286,0.6,52,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",casp,class,syntax constructor,285,0.6,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-2idl,|-,assertion,285,0.6,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-asp,|-,assertion,285,0.6,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-evls,|-,assertion,282,0.59,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-itg2,|-,assertion,276,0.58,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ccoss,class,syntax constructor,275,0.58,166,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cps,class,syntax constructor,275,0.58,36,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ps,|-,assertion,271,0.57,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cii,class,syntax constructor,268,0.56,153,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-coss,|-,assertion,267,0.56,12,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",clcd,class,syntax constructor,266,0.56,34,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-nlm,|-,assertion,265,0.56,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ccgrg,class,syntax constructor,264,0.55,57,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnbgr,class,syntax constructor,264,0.55,147,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",chomf,class,syntax constructor,263,0.55,118,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cod,class,syntax constructor,263,0.55,46,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-cgrg,|-,assertion,258,0.54,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",c1s,class,syntax constructor,257,0.54,166,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctsr,class,syntax constructor,257,0.54,34,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-tsr,|-,assertion,257,0.54,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-od,|-,assertion,256,0.54,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnpi,class,syntax constructor,255,0.53,84,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csumge0,class,syntax constructor,253,0.53,148,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-lcdual,|-,assertion,251,0.53,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",citg,class,syntax constructor,248,0.52,175,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ordt,|-,assertion,248,0.52,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-nbgr,|-,assertion,247,0.52,4,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cibl,class,syntax constructor,246,0.52,160,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csr,class,syntax constructor,246,0.52,33,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-itg,|-,assertion,246,0.52,11,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmpd,class,syntax constructor,245,0.51,17,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-homf,|-,assertion,245,0.51,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cphi,class,syntax constructor,243,0.51,47,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-phi,|-,assertion,243,0.51,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ni,|-,assertion,242,0.51,7,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ibl,|-,assertion,241,0.51,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cdg1,class,syntax constructor,239,0.5,62,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctrls,class,syntax constructor,238,0.5,98,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-mapd,|-,assertion,238,0.5,1,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cmdg,class,syntax constructor,236,0.5,5,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-ii,|-,assertion,236,0.5,4,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-mdeg,|-,assertion,236,0.5,2,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cabv,class,syntax constructor,235,0.49,22,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cpmtr,class,syntax constructor,235,0.49,49,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cnat,class,syntax constructor,234,0.49,85,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctsu,class,syntax constructor,234,0.49,53,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cee,class,syntax constructor,232,0.49,229,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",cevl,class,syntax constructor,229,0.48,22,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",ctan,class,syntax constructor,229,0.48,44,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-tan,|-,assertion,228,0.48,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",csalg,class,syntax constructor,227,0.48,110,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
set.mm,"ZFC, classical first-order",df-evl,|-,assertion,227,0.48,3,7ddd528c948ae375618ad1ca476b28b9a0eec7d6
