library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_sub_toInt_lt_twoPow_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_sub_toInt_lt_twoPow_iff._proof_1_4,5,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toNat_signExtend_of_le,_private.Init.Data.BitVec.Lemmas.0.BitVec.toNat_signExtend_of_le._proof_1_3,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.twoPow_le_toInt_sub_toInt_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.twoPow_le_toInt_sub_toInt_iff._proof_1_6,3,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.two_pow_le_toInt_mul_toInt_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.two_pow_le_toInt_mul_toInt_iff._proof_1_6,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.two_pow_le_toInt_mul_toInt_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.two_pow_le_toInt_mul_toInt_iff._proof_1_7,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.two_pow_le_toInt_mul_toInt_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.two_pow_le_toInt_mul_toInt_iff._proof_1_8,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.uaddOverflow_assoc,_private.Init.Data.BitVec.Lemmas.0.BitVec.uaddOverflow_assoc._proof_1_5,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.ult_eq_msb_of_msb_neq,_private.Init.Data.BitVec.Lemmas.0.BitVec.ult_eq_msb_of_msb_neq._proof_1_3,3,removed,
Init,Init.Data.ByteArray.Lemmas,ByteArray.extract_eq_empty_iff,_private.Init.Data.ByteArray.Lemmas.0.ByteArray.extract_eq_empty_iff._proof_1_1,2,removed,
Init,Init.Data.Fin.Lemmas,Fin.coe_sub_iff_le,_private.Init.Data.Fin.Lemmas.0.Fin.coe_sub_iff_le._proof_1_1,2,removed,
Init,Init.Data.Fin.Lemmas,Fin.coe_sub_iff_le,_private.Init.Data.Fin.Lemmas.0.Fin.coe_sub_iff_le._proof_1_3,2,removed,
